GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Performance Testing,com.soebes.maven.performance.helper,PomHelper,9,29,0,0,3,8,1,1,1,1
Maven Performance Testing,com.soebes.maven.performance.commands,CommandMain,6,0,0,0,2,0,2,0,2,0
Maven Performance Testing,com.soebes.maven.performance.commands,Execute,6,0,0,0,2,0,2,0,2,0
Maven Performance Testing,com.soebes.maven.performance.commands,Commands,75,0,0,0,15,0,8,0,8,0
Maven Performance Testing,com.soebes.maven.performance.commands,Scenario,6,0,0,0,2,0,2,0,2,0
Maven Performance Testing,com.soebes.maven.performance.commands,BaseCommand,6,0,0,0,2,0,2,0,2,0
Maven Performance Testing,com.soebes.maven.performance.scenario,SetupSingleLevelScenario,75,0,0,0,21,0,4,0,4,0
Maven Performance Testing,com.soebes.maven.performance.scenario,SetupMultiLevelScenario,0,200,0,4,0,39,0,11,0,9
Maven Performance Testing,com.soebes.maven.performance.execution,JavaHome,35,0,0,0,8,0,3,0,3,0
Maven Performance Testing,com.soebes.maven.performance.execution,ExecutionResult,25,0,0,0,2,0,5,0,5,0
Maven Performance Testing,com.soebes.maven.performance.execution,ExecuteCommand,69,0,0,0,17,0,2,0,2,0
Maven Performance Testing,com.soebes.maven.performance.sdkman,SDKManJDKS,0,41,0,0,0,10,0,4,0,4
Maven Performance Testing,com.soebes.maven.performance.maven,MojoHausMavenPlugins,6,0,0,0,1,0,1,0,1,0
Maven Performance Testing,com.soebes.maven.performance.maven,BuildProperties,0,18,0,0,0,1,0,1,0,1
Maven Performance Testing,com.soebes.maven.performance.maven,Property,0,15,0,0,0,6,0,3,0,3
Maven Performance Testing,com.soebes.maven.performance.maven,ApachenMavenPlugins,0,51,0,0,0,9,0,1,0,1
Maven Performance Testing,com.soebes.maven.performance.maven,Dependency.Scope,0,33,0,0,0,6,0,1,0,1
Maven Performance Testing,com.soebes.maven.performance.maven,Plugin,0,28,0,0,0,9,0,5,0,5
Maven Performance Testing,com.soebes.maven.performance.maven,GAV,0,28,0,0,0,9,0,5,0,5
Maven Performance Testing,com.soebes.maven.performance.maven,Dependency,9,56,0,0,1,17,1,9,1,9
Maven Performance Testing,com.soebes.maven.performance,CreatePom.CreatePomBuild,0,73,0,0,0,13,0,9,0,9
Maven Performance Testing,com.soebes.maven.performance,Scenarios,25,0,0,0,6,0,2,0,2,0
Maven Performance Testing,com.soebes.maven.performance,CreatePom,6,286,1,1,1,61,1,25,0,25
Maven Performance Testing,com.soebes.maven.performance,ExecuteMeasurement,231,0,0,0,31,0,5,0,5,0
Maven Performance Testing,com.soebes.maven.performance,PerformanceSetup,142,0,9,0,31,0,12,0,7,0
Maven Performance Testing,com.soebes.maven.performance,Writer,6,18,0,0,2,6,0,1,0,1
Maven Performance Testing,com.soebes.maven.performance,Packaging,0,27,0,0,0,5,0,1,0,1
